Date,Guest,Primetime,Tucker
November 1 2020 Sunday,Matt Towery;Robert Cahaly;Reince Priebus;David Bossie;Corey Lewandowski;Sean Parnell;Ronna ,1,0
August 31 2020 Monday,Chad Wolf;John Pierce;Libby Emmons,1,1
September 2 2020 Wednesday,Kaylee McGhee;Ira Stoll;John Thomas;Rebecca Walser;David Burstein,0,0
August 1 2020 Saturday,Matt Gaetz;Donald Trump Jr.;Mike Ditka,1,0
March 3 2020 Tuesday,Frank Luntz,1,0
February 29 2020 Saturday,,1,0
March 1 2020 Sunday,Joe Biden;Alex Azar,0,0
August 14 2020 Friday,Alex Berenson;Phil Kerpen;Gage Sattler;Julio Rosas;Raymond Lopez;Lara Logan;Rachel Campos-,1,0
October 10 2020 Saturday,Marco Rubio;Newt Gingrich;Kayleigh McEnany;Frank Luntz;Dinesh D'Souza,1,0
November 25 2020 Wednesday,Steve Cortes;Lou Giovannetti;Harmeet Dhillon;Harvey Risch;Matt Schlapp,1,0
May 26 2020 Tuesday,Leo Terrell;Larry Elder;John Kennedy;Robert Kraft,1,0
October 8 2020 Thursday,Donald Trump;David Marcus;Tom Bevan;William Grace;Candace Owens;Alex Berenson;Phil Kerpen;,1,0
July 20 2020 Monday,Victor Davis Hanson;Harvey Risch;Ben Shapiro;Eric Greitens,1,0
October 29 2020 Thursday,Tom Bevan;Rick Snyder;Cory Gardner;Eliza Collins;Derek Stevens;Heather Zumarraga,0,0
October 14 2020 Wednesday,Miranda Devine;Saagar Enjeti;Megan Wold;Douglas Murray;Mark Steyn;Jesse Binnall,1,1
September 4 2020 Friday,Saagar Enjeti;Alex Marlow;Matthew Whitaker;Dave Rubin,1,1
July 29 2020 Wednesday,Mark Warner;Mitch McConnell;Ken Cuccinelli,0,0
September 16 2020 Wednesday,Scott Atlas;Josh Hawley;Elana Fishbein;Mark Steyn;Eddie Scarry,1,1
November 23 2020 Monday,Robert Epstein;Sharyl Attkisson;J.D. Vance;Candace Owens;Oren Cass,1,1
December 1 2020 Tuesday,Jonah Goldberg;Mollie Hemingway;Charles Lane,0,0
September 3 2020 Thursday,Bill Stepien,0,0
July 8 2020 Wednesday,John Kennedy;Tio Hardiman;Valencia Pullum;Tom Inglesby;Ken Paxton;Shamann Walton;Randy ,0,0
September 4 2020 Friday,Ken Cuccinelli;Tezlyn Figaro;Steve Moore;Brian Claypool;David Bruno;Robert Spalding;Mark Geist,1,0
January 15 2020 Wednesday,Stephen Schwarzman,0,0
July 28 2020 Tuesday,John Kennedy;Donald Washington;Kathleen Porter-Magee;Stacey Gibson,1,0
November 11 2020 Wednesday,Vernon Jones;Chris Bedford;Alana Goodman;Cynthia Garrett;Bryan Steil;Mike Huckabee,1,0
